Variable,2015,2016,2017,2018,2019,2020,2021,2022
Ags,23212,23729,33548,38834,38429,33626,35645,16179
BC,119944,109109,111722,103028,104013,92168,98085,42493
BCS,21415,24606,24174,23438,22644,18254,18677,8262
Camp,1886,2237,2056,2157,2312,2003,5611,10018
Chis,21618,22189,25364,28892,23294,17269,17130,7391
Chih,61280,57904,68819,68898,71837,66831,72999,30378
CDMX,169701,179720,204078,241031,242839,198159,223685,94829
Coah,46569,51242,56311,56308,52937,48461,56045,27150
Col,6562,10877,24425,24494,26554,25370,28368,11813
Dur,29088,32183,34851,31903,30338,26024,29479,10833
Gto,95782,106265,117857,133749,137658,122870,134626,57964
Gro,36783,36561,32799,27695,27344,23874,24628,11157
Hgo,27504,33754,43963,51222,49750,41260,46464,21789
Jal,95331,136820,166599,162756,156654,126600,128585,53385
EdoMex,323525,325038,345693,341028,354602,341278,389493,169299
Mich,30899,32558,41836,45190,46753,45888,46877,19159
Mor,49245,45448,44329,44936,43191,40491,42301,18477
Nay,6651,3668,3220,4545,4642,4165,5072,2895
NL,72350,84746,83974,81125,75871,78949,94321,41497
Oax,6127,31607,31938,41989,43788,39061,41583,18589
Pue,64399,51061,53800,61172,76556,63587,75141,32541
Qro,32817,42900,53379,57809,60515,52026,53944,23215
QRoo,32496,18958,26518,34043,45896,40751,47753,20615
SLP,21419,28613,35179,38362,52288,45808,51070,22085
Sin,25812,22141,22931,23486,23443,23910,27386,12166
Son,28659,39423,25969,18197,23438,31090,37301,13890
Tab,57452,59434,60395,58271,56561,45014,48715,18751
Tamps,44527,48528,47163,44048,42413,31844,36636,14918
Tlax,8317,6775,6964,6369,4411,4141,4527,1975
Ver,45539,42312,66379,60758,89822,79259,88308,36307
Yuc,34716,34288,24390,13129,16419,8417,8565,1713
Zac,16179,17136,18874,21070,23952,22742,25110,10333
